# _common-ui -- экран стратегий (Administration Facility), заголовки разделов панели
# описания стратегии/эффекта. Это СТОКОВЫЙ UI KSP (Assembly-CSharp.dll), не мод -- найдено по
# жалобе оператора на скриншоте (панель Programme "Neidon II", Strategia): заголовки Effects/
# Objectives/Requirements/Advances/Rewards/Penalties остаются на английском, хотя тела и часть
# текста уже переведены (через уже существующие словари/ключи).
#
# ЧЕСТНОЕ ОГРАНИЧЕНИЕ: сам ТЕКСТ пунктов под заголовками ("A penalty of 7,500,000 funds will be
# applied if cancelled...", "Must have returned a crew from the surface of...") НЕ переводим --
# это склеено оператором + с динамическими значениями (суммы, уровни, имена тел) ДО отрисовки
# GUILayout.Label/TMPro.text -- движок ловит уже готовую строку с числом внутри, точное совпадение
# никогда не сработает (тот же архитектурный тупик, что уже задокументирован для SCANsat-контрактов
# и MechJeb2 "Exported as"+путь). Реальный фикс потребовал бы патча/пересборки Assembly-CSharp или
# Strategia.dll -- вне скоупа этого проекта.
#
# Подтверждено strings-дампом Assembly-CSharp.dll: "Effects"/"Objectives"/"Requirements" реально
# существуют как отдельные строковые константы (без двоеточия в константе -- двоеточие, видимо,
# добавляется отдельно при отрисовке). "Advances"/"Rewards"/"Penalties" НЕ найдены как отдельные
# константы -- возможно из другого источника (Strategia.dll или локализационный ключ, не
# разбирали дальше). Добавлены обе формы (с двоеточием и без) на случай любого варианта склейки --
# несовпадение безопасно (строка остаётся как есть).

Effects	Эффекты
Effects:	Эффекты:
Objectives	Задачи
Objectives:	Задачи:
Requirements	Требования
Requirements:	Требования:
Advances	Авансы
Advances:	Авансы:
Rewards	Награды
Rewards:	Награды:
Penalties	Штрафы
Penalties:	Штрафы:
