# Chatterer -- словарь UI-строк окна настроек радиопереговоров (GameData/Chatterer).
# Метод ui-dict: строки захардкожены в Chatterer.dll как аргументы legacy-IMGUI
# (GUILayout.Label/Button/Toggle, GUIContent) -- движок KerbalRuUiTranslator ловит их
# по точному совпадению текста (Harmony-патч на GUILayout/GUIContent/GUI.*).
# Строки лога ("[CHATR] ..."), отладочные Debug.Log/LogError и Application.* --
# никогда не попадают на экран игроку, исключены сознательно.
#
# Формат: Английский<TAB>Русский. Несовпадение = строка остаётся как есть (безопасно).
#
# Не переведено сознательно -- коллизия с чужим словарём другого смысла:
# "Rate: " (параметр частоты модуляции хоруса, см. Chorus modulation rate) уже занята
# translations/RP-1/KerbalRuUiTranslations/RP0.txt -> "Темп: " (темп/скорость игрового
# времени карьеры RP-1 -- другой смысл). Движок хранит один плоский словарь без scope
# по моду (см. tools/ui-translator/src/KerbalRuUiTranslator.cs), переопределять чужую
# строку здесь означало бы либо сломать перевод RP-1, либо получить непредсказуемый
# результат в зависимости от порядка загрузки файлов. Оставлено английским.
# Rate: 	(намеренно не объявлено)
#
# Quindar -- позывной тон NASA перед радиопередачей; SSTV -- Slow-Scan Television,
# радиопротокол передачи изображений. Оба -- устоявшиеся англоязычные термины
# реальной космонавтики/радиосвязи, оставлены латиницей намеренно.
# Blizzy78 -- ник автора альтернативного тулбара (мод Toolbar Controller), имя
# собственное, латиницей.

# --- Главное окно / общие настройки ---
 Filters	 Фильтры
Chatter Filters	Фильтры переговоров
Debug Mode	Режим отладки
It does something	Что-то да делает
Spam the log with more or less usefull reports	Управляет подробностью отчётов в логе
Hide stock Applaunch button	Скрыть кнопку в стоковой панели приложений
Use Blizzy78's toolbar only	Использовать только панель Blizzy78
Show tooltips	Показывать подсказки
Show advanced options	Показать доп. настройки
More chatter and beep options are displayed	Показываются доп. настройки переговоров и сигналов
Reset all chatterer settings to default	Сбросить все настройки Chatterer по умолчанию
Reset default settings	Сбросить настройки по умолчанию
Use per-vessel settings	Использовать настройки для каждого корабля
Every vessel will keep its own individual settings	У каждого корабля будут свои собственные настройки
Current skin	Текущий скин
Select next skin	Следующий скин
Select previous skin	Предыдущий скин
Open/Close Chatterer UI	Открыть/закрыть интерфейс Chatterer
Next page	Следующая страница
Previous page	Предыдущая страница

# --- Источники сигналов (beepsource) ---
Add a new beepsource	Добавить новый источник сигналов
Remove the last beepsource	Удалить последний источник сигналов
Pitch of this beepsource	Высота тона этого источника сигналов
Volume of this beepsource	Громкость этого источника сигналов
Set this sample to play from this beepsource	Задать этот сэмпл для этого источника сигналов
How often this beepsource will play	Как часто будет играть этот источник сигналов
Beep frequency: 	Частота сигналов: 
Beep pitch: 	Высота тона сигналов: 
Beep sample:	Сэмпл сигнала:
Beep timing:	Режим таймера сигналов:
Beep volume: 	Громкость сигналов: 
Click to change the current beep sample	Нажмите, чтобы сменить текущий сэмпл сигнала
Disable beeps during chatter	Отключать сигналы во время переговоров
No beeps	Без сигналов
Play this sample once	Проиграть этот сэмпл один раз
Stop beeps from beeping while chatter is playing	Останавливать сигналы во время переговоров
Switch between timing modes	Переключить режим таймера
1-2 min	1–2 мин
2-5 min	2–5 мин
5-10 min	5–10 мин
Copy beepsource to clipboard	Копировать источник сигналов в буфер обмена
Paste beepsource from clipboard	Вставить источник сигналов из буфера обмена

# --- Радиопереговоры (chatter) ---
Chatter frequency: 	Частота переговоров: 
Chatter volume: 	Громкость переговоров: 
How often chatter will play	Как часто будут звучать переговоры
No chatter	Без переговоров
Remove this chatter set from the list	Удалить этот набор переговоров из списка
Toggle this chatter set on/off	Вкл./выкл. этот набор переговоров
