# RoutineMissionManager (мод «Routine Mission Manager») — словарь UI-строк,
# извлечённых напрямую из скомпилированного CommercialOfferings.dll (monodis --userstrings).
# UI зашит в код, а не в Localizer, поэтому переводится через ui-translator (точное совпадение строки).
# Папка GameData: RoutineMissionManager. Формат: Английский<TAB>Русский. Несовпадение = строка как есть.
# Ведущие/хвостовые пробелы и двоеточия сохранены точно. Многострочные строки с реальным \n
# (2 сообщения об ошибке установки) невозможно задать ключом в построчном файле — они опущены.
Docking Port	Стыковочный узел
Thank you for implementing the Routine Mission Manager. This application allows you, as a space program administrators, to track certain flights in a manner which allows you to order similar missions in the future, without requiring your continues hands-on guidance and oversight of these missions. As such, the routine mission manager will save time executing the routine missions which will allow you to focus more time on pushing the borders of space exploration. 	Благодарим за внедрение Менеджера рутинных миссий. Это приложение позволяет вам как администратору космической программы отслеживать определённые полёты так, чтобы в будущем заказывать похожие миссии без постоянного ручного управления и надзора за ними. Тем самым менеджер рутинных миссий экономит время на выполнении рутинных миссий, позволяя уделять больше внимания расширению границ освоения космоса. 
What type of flights can tracked? What are the variations of the subsequent orders of these mission? What are the details and conditions which define these operations? Is there a manual which explains any of this?	Какие типы полётов можно отслеживать? Какие варианты последующих заказов этих миссий доступны? Какие детали и условия определяют эти операции? Есть ли руководство, объясняющее всё это?
You are reading it now. 	Вы читаете его прямо сейчас. 
Overview	Обзор
The routine mission manager usage can be subdivided in three domains: tracking, ordering and location management. 	Использование менеджера рутинных миссий делится на три области: отслеживание, заказ и управление локациями. 
Tracking involves flying a new type of mission while the routine mission manager tracks the mission. 	Отслеживание — это выполнение нового типа миссии, пока менеджер рутинных миссий её отслеживает. 
Ordering refers to the ordering of additionals missions through the routine mission manager. These ordered missions are based on the missions which have been tracked by the routine mission manager. Mission ordered through the routine mission manager will be executed without your direct involvement. 	Заказ — это оформление дополнительных миссий через менеджер рутинных миссий. Заказанные миссии основаны на миссиях, ранее отслеженных менеджером. Миссии, заказанные через менеджер, выполняются без вашего прямого участия. 
Location Management comprises the registering of locations. These locations serve as starting points and destination for mission ordered through the routine mission manager. 	Управление локациями — это регистрация локаций. Эти локации служат точками старта и назначения для миссий, заказанных через менеджер рутинных миссий. 
To allow a mission to be ordered through the routine mission mananger the mission needs to be executed once while being tracked. 	Чтобы миссию можно было заказать через менеджер рутинных миссий, её нужно один раз выполнить под отслеживанием. 
In its simplest form it is only required to start the tracking and fly the mission. However to allow more variation on future ordered missions it is preferable to consider the original flight a model flight in which the vessels is rated instead. There might yet other mission structures which could not be flown at all without the use of the routine mission manager. An example might be a launch in which some stage of the vessel returns to land and be recovered while another part continues an ascent to dock with a vessel in orbit. Since such a mission could require you to be at two places at the same time, you would not be able to fly such a mission in a conventionally manner. The routine mission manager will however allow you to complete different stages of the flight seperatly, and will subsequently allow you to order the entire mission through the routine mission manager. In such a case the original mission should be considered a simulation. 	В простейшем виде достаточно начать отслеживание и выполнить миссию. Однако, чтобы будущие заказанные миссии допускали больше вариаций, исходный полёт лучше считать эталонным, в котором аттестуется само судно. Существуют и другие структуры миссий, которые вообще нельзя выполнить без менеджера рутинных миссий. Например, запуск, при котором одна ступень судна возвращается для посадки и спасения, а другая часть продолжает подъём для стыковки с судном на орбите. Поскольку такая миссия потребовала бы вашего присутствия в двух местах одновременно, обычным образом выполнить её не получится. Тем не менее менеджер рутинных миссий позволит выполнить разные этапы полёта по отдельности, а затем заказать всю миссию целиком. В таком случае исходную миссию следует считать симуляцией. 
No matter whether you are simply tracking a flight you expect will need repeating again in the future, flying a model flight or flying the original mission as a simulation, the original flight should always be executed as clean and efficient as possible. 	Независимо от того, просто ли вы отслеживаете полёт, который планируете повторять в будущем, выполняете эталонный полёт или проходите исходную миссию как симуляцию, исходный полёт всегда следует выполнять максимально чисто и эффективно. 
Mission Architecture	Архитектура миссий
The following mission architectures are supported by the routine mission manager: 	Менеджер рутинных миссий поддерживает следующие архитектуры миссий: 
<b>Launch</b> 	<b>Запуск</b> 
A mission which start with a launch or takeof from the home planet and ends with an docking arrival at an orbiting vessel around a celestial body for which the routine mission manager is enabled. In addition this mission may contain one or more landings on the home planet of recovarable stages. 	Миссия, которая начинается с запуска или взлёта с родной планеты и заканчивается стыковочным прибытием к судну на орбите вокруг небесного тела, для которого включён менеджер рутинных миссий. Кроме того, такая миссия может включать одну или несколько посадок спасаемых ступеней на родную планету. 
<B>Departure</B> 	<B>Отбытие</B> 
A mission which starts with a departure from an orbiting vessel around a celestial body for which the routine mission manager is enabled and ends with one or more landings on the home planet. 	Миссия, которая начинается с отбытия от судна на орбите вокруг небесного тела, для которого включён менеджер рутинных миссий, и заканчивается одной или несколькими посадками на родную планету. 
Start Tracking	Начать отслеживание
To track a flight you are required to manually start the tracking of the flight. Missions can start as a launch from the launchpad, takeof from the runway or a depature from a larger orbiting vessel. 	Чтобы отслеживать полёт, нужно вручную начать его отслеживание. Миссии могут начинаться как запуск со стартового стола, взлёт со взлётной полосы или отбытие от более крупного судна на орбите. 
To fly a model flight consider using minimal crew, minimal proppelant and, if applicable, maximum cargo. 	Для эталонного полёта используйте минимальный экипаж, минимум топлива и, если применимо, максимум груза. 
The crew on the orignal mission will be considered the minimal crew for any ordered mission based on the tracked mission. You will be able to increase the crew up to the maximum crew capacity in ordered missions. 	Экипаж исходной миссии будет считаться минимальным для любой заказанной миссии на её основе. В заказанных миссиях вы сможете увеличивать экипаж вплоть до максимальной вместимости. 
The proppellant on board at the start of the mission will be considered the minimal resource requirement for any future ordered mission. 	Топливо на борту в начале миссии будет считаться минимальным требованием по ресурсам для любой будущей заказанной миссии. 
The cargo, which refers to non proppellant resources on board of the vessel, should be as high as possible to allow future missions to carry cargo up to the same mass as the original mission. 	Груз — то есть нетопливные ресурсы на борту судна — должен быть как можно больше, чтобы будущие миссии могли нести груз до той же массы, что и исходная миссия. 
How tracking is started differs slightly on where the mission starts. 	Способ запуска отслеживания немного зависит от того, где начинается миссия. 
Start Tracking from Launch and Takeof	Начало отслеживания при запуске и взлёте
To start tracking at the launchpad or runway: 	Чтобы начать отслеживание на стартовом столе или взлётной полосе: 
-Open the main routine mission manager window using the 'RMM' toolbar button.	-Откройте главное окно менеджера рутинных миссий кнопкой «RMM» на панели инструментов.
-Select the 'Start Tracking' option. 	-Выберите пункт «Начать отслеживание». 
A window will open.	Откроется окно.
-Enter a name for the mission and press the 'Start Tracking' button.	-Введите название миссии и нажмите кнопку «Начать отслеживание».
Start Tracking from Departure	Начало отслеживания при отбытии
To start tracking from a departures from a larger vessel in orbit: 	Чтобы начать отслеживание отбытия от более крупного судна на орбите: 
Every docking port on the vessel will momentarily get a 'Start Tracking' in the part menu. (This option can take a few seconds to become visible.)	У каждого стыковочного узла судна ненадолго появится пункт «Начать отслеживание» в меню детали. (Этот пункт может появиться через несколько секунд.)
-On the docking port of the departing vessel select the 'Start Tracking' option from the part menu. Note: this should be the docking port which will be part of the departing vessel.	-На стыковочном узле отбывающего судна выберите пункт «Начать отслеживание» в меню детали. Примечание: это должен быть тот узел, который войдёт в состав отбывающего судна.
Tracking the Flight	Отслеживание полёта
